ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,Conversion_Rate,CPA,Revenue,ROAS,Campaign_Type
708016,1178,103318,35-39,M,90,30944,10,18.46,1,0,0.03231644260599793,1.846,10.0,18.46,5,0.27085590465872156,Video
708024,916,103175,30-34,F,38,15914,8,13.98,0,0,0.050270202337564414,1.7475,0.0,,0,0.0,Image
708035,916,103067,35-39,F,65,196911,46,96.64,6,2,0.023360807674533163,2.1008695652173914,13.043478260869565,16.106666666666666,130,1.3451986754966887,Image
708048,1178,103238,45-49,F,107,5116,2,3.95,2,0,0.039093041438623924,1.975,100.0,1.975,10,2.531645569620253,Video
708048,1178,103382,45-49,M,95,10163,2,5.58,2,1,0.01967922857423989,2.79,100.0,2.79,60,10.75268817204301,Video
708050,916,103858,30-34,F,109,267,1,1.1,1,0,0.37453183520599254,1.1,100.0,1.1,5,4.545454545454545,Image
708050,1178,103657,40-44,F,18,32109,8,21.96,3,2,0.02491513282880189,2.745,37.5,7.32,115,5.2367941712204,Video
708061,1178,103475,35-39,F,4,84054,27,29.48,10,5,0.03212220715254479,1.0918518518518519,37.03703703703704,2.948,300,10.176390773405698,Video
708071,936,103594,40-44,M,14,1091,1,2.32,1,0,0.09165902841429881,2.32,100.0,2.32,5,2.1551724137931036,Image
708074,1178,103285,30-34,M,98,64105,10,8.52,4,1,0.015599407222525544,0.852,40.0,2.13,70,8.215962441314554,Video
708076,936,103904,30-34,F,93,5427,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708077,916,103078,30-34,M,41,17416,4,4.24,0,0,0.022967386311437757,1.06,0.0,,0,0.0,Image
708077,936,103091,30-34,F,7,8450,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708078,916,103363,45-49,M,12,25003,5,6.94,0,0,0.019997600287965444,1.3880000000000001,0.0,,0,0.0,Image
708080,916,103663,30-34,M,13,4170,1,0.89,0,0,0.023980815347721823,0.89,0.0,,0,0.0,Image
708083,936,103758,30-34,F,29,3155,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708084,936,103177,35-39,F,101,2229,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708099,1178,103915,35-39,F,17,2997,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Video
708102,936,103020,45-49,F,62,2662,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708104,1178,103091,30-34,F,64,18650,8,11.79,1,0,0.04289544235924933,1.47375,12.5,11.79,5,0.42408821034775235,Video
708109,916,103569,40-44,M,7,2873,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708113,916,103070,30-34,F,85,25057,6,10.17,0,0,0.023945404477790637,1.695,0.0,,0,0.0,Image
708116,916,103756,45-49,M,22,1041,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708117,1178,103997,30-34,M,27,3394,1,1.7,1,0,0.02946375957572186,1.7,100.0,1.7,5,2.9411764705882355,Video
708119,936,103304,45-49,M,80,825,1,1.58,0,0,0.12121212121212122,1.58,0.0,,0,0.0,Image
708124,1178,103398,45-49,M,3,8828,3,7.43,0,0,0.03398278205709108,2.4766666666666666,0.0,,0,0.0,Video
708126,936,103360,40-44,M,17,3527,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708127,1178,103606,35-39,M,97,32821,1,2.07,0,0,0.003046829773620548,2.07,0.0,,0,0.0,Video
708127,1178,103968,35-39,F,68,15516,1,1.48,1,0,0.006444960041247744,1.48,100.0,1.48,5,3.3783783783783785,Video
708127,1178,103981,30-34,F,10,33440,8,11.38,4,2,0.023923444976076555,1.4225,50.0,2.845,120,10.544815465729348,Video
708140,1178,103070,40-44,F,58,22141,11,23.08,5,2,0.04968158619755205,2.098181818181818,45.45454545454545,4.616,125,5.415944540727903,Video
708141,936,103518,40-44,M,27,2770,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708142,1178,103968,30-34,F,32,13056,2,3.03,0,0,0.015318627450980392,1.515,0.0,,0,0.0,Video
708142,916,103543,30-34,F,52,7862,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708145,916,103656,35-39,F,36,662,0,0.0,0,0,0.0,0.0,0.0,,0,0.0,Image
708159,1178,103678,30-34,M,98,127312,59,77.3,26,9,0.04634284277994219,1.3101694915254236,44.06779661016949,2.973076923076923,580,7.503234152652006,Video
708161,1178,103784,30-34,M,94,4022,2,3.57,2,0,0.04972650422675286,1.785,100.0,1.785,10,2.801120448179272,Video
